,designer,count
421,1493706,1
422,110127,134
423,5319803,10
424,2029668,33
425,153143,2
426,8520151,9
427,4209854,1
428,3494666,4
429,134387,20
430,9370592,11
431,397659,98
432,1859723,110
433,3496657,3
434,57889,2486
435,1039439,15
436,7017835,9
437,5282157,20
438,17095,3
439,10678694,11
440,2541392,205
441,10335124,3
442,78703,48
443,696026,7
444,4194737,23
445,6725041,10
446,6414991,43
447,5833537,9
448,450885,25
449,6487928,8
450,113040,252
451,2103,180
452,2188884,4
453,10701666,6
454,51777,275
455,7368079,3
456,7018093,24
457,2067047,57
458,5220351,103
459,2747,1139
460,10528950,1
461,3539517,142
462,9193804,5
463,549774,27
464,1263846,10
465,6358,14
466,338326,36
467,13916,249
468,2954623,46
469,5321177,4
470,5545,259
471,7389367,7
472,161679,97
473,1599050,3
474,3422322,161
475,220252,20
476,6415045,6
477,418704,74
478,59639,30
479,26488,98
480,3168454,2
481,393230,151
482,12405,220
483,506282,140
484,8070736,3
485,4619137,1
486,339767,521
487,7203237,9
488,5424355,8
489,1467652,33
490,7933802,7
491,4712512,4
492,251057,141
493,1862611,52
494,413452,1
495,1629091,70
496,2857274,1
497,14236,178
498,1885843,3
499,6797,4
500,1590566,294
501,7199,158
502,6965531,29
503,2853,76
504,6843648,3
505,6326412,5
506,2126,74
507,132075,2
508,6112266,10
509,1417318,5
510,337505,4
511,513142,62
512,7464651,12
513,27653,9
514,32705,53
515,711987,128
516,161131,55
517,1749325,1
518,1008705,1
519,1100796,19
520,6394698,14
521,10636746,9
522,4757593,179
523,10353117,7
524,62227,53
525,75402,108
526,2749,31
527,2438429,26
528,5305685,4
529,253174,82
530,123926,137
531,396355,68
532,963114,23
533,10188023,5
534,645694,1
535,3947974,18
536,198948,60
537,5445729,45
538,9756800,9
539,10557466,14
540,171092,170
541,130944,137
542,368569,8
543,1749282,4
544,1527350,52
545,103318,11
546,1156737,11
547,474919,13
548,6172427,9
549,43889,11
550,5282306,64
551,8673307,24
552,396991,60
553,7112680,181
554,7049335,94
555,3846208,3
556,5048217,27
557,5405295,55
558,8264662,20
559,5980044,81
560,4910391,21
561,6112114,3
562,27638,270
563,6596912,2
564,996377,33
565,86194,3
566,211376,120
567,161216,165
568,5343617,32
569,834559,54
570,1890817,7
571,1306583,11
572,6540211,7
573,69158,1
574,1534959,1
575,13318,26
576,1126989,15
577,390590,26
578,167082,6
579,69128,70
580,7579384,18
